,fecha,dia,mes,ano,linea,estacion,afluencia
248,2021-03-08,8,Marzo,2021,Linea 1,Zaragoza,23445
249,2021-03-09,9,Marzo,2021,Linea 1,Zaragoza,22559
250,2021-03-10,10,Marzo,2021,Linea 1,Zaragoza,23301
251,2021-03-11,11,Marzo,2021,Linea 1,Zaragoza,23849
252,2021-03-12,12,Marzo,2021,Linea 1,Zaragoza,23752
253,2021-03-13,13,Marzo,2021,Linea 1,Zaragoza,21547
254,2021-03-14,14,Marzo,2021,Linea 1,Zaragoza,12164
255,2021-03-15,15,Marzo,2021,Linea 1,Zaragoza,21927
256,2021-03-16,16,Marzo,2021,Linea 1,Zaragoza,26483
257,2021-03-17,17,Marzo,2021,Linea 1,Zaragoza,26714
258,2021-03-18,18,Marzo,2021,Linea 1,Zaragoza,23138
259,2021-03-19,19,Marzo,2021,Linea 1,Zaragoza,22822
260,2021-03-20,20,Marzo,2021,Linea 1,Zaragoza,24731
261,2021-03-21,21,Marzo,2021,Linea 1,Zaragoza,14041
262,2021-03-22,22,Marzo,2021,Linea 1,Zaragoza,25971
263,2021-03-23,23,Marzo,2021,Linea 1,Zaragoza,24544
264,2021-03-24,24,Marzo,2021,Linea 1,Zaragoza,27085
265,2021-03-25,25,Marzo,2021,Linea 1,Zaragoza,"26,32"
266,2021-03-26,26,Marzo,2021,Linea 1,Zaragoza,26704
267,2021-03-27,27,Marzo,2021,Linea 1,Zaragoza,27737
268,2021-03-28,28,Marzo,2021,Linea 1,Zaragoza,17592
269,2021-03-29,29,Marzo,2021,Linea 1,Zaragoza,30756
270,2021-03-30,30,Marzo,2021,Linea 1,Zaragoza,"31,37"
271,2021-03-31,31,Marzo,2021,Linea 1,Zaragoza,34236
272,2021-04-01,1,Abril,2021,Linea 1,Zaragoza,20118
273,2021-04-02,2,Abril,2021,Linea 1,Zaragoza,14647
274,2021-04-03,3,Abril,2021,Linea 1,Zaragoza,18744
275,2021-04-04,4,Abril,2021,Linea 1,Zaragoza,16686
276,2021-04-05,5,Abril,2021,Linea 1,Zaragoza,27617
277,2021-04-06,6,Abril,2021,Linea 1,Zaragoza,30172
278,2021-04-07,7,Abril,2021,Linea 1,Zaragoza,"31,87"
279,2021-04-08,8,Abril,2021,Linea 1,Zaragoza,30428
280,2021-04-09,9,Abril,2021,Linea 1,Zaragoza,29243
281,2021-04-10,10,Abril,2021,Linea 1,Zaragoza,"23,08"
282,2021-04-11,11,Abril,2021,Linea 1,Zaragoza,15763
283,2021-04-12,12,Abril,2021,Linea 1,Zaragoza,25248
284,2021-04-13,13,Abril,2021,Linea 1,Zaragoza,"24,63"
285,2021-04-14,14,Abril,2021,Linea 1,Zaragoza,28947
286,2021-04-15,15,Abril,2021,Linea 1,Zaragoza,25867
287,2021-04-16,16,Abril,2021,Linea 1,Zaragoza,27952
288,2021-04-17,17,Abril,2021,Linea 1,Zaragoza,23176
289,2021-04-18,18,Abril,2021,Linea 1,Zaragoza,15833
290,2021-04-19,19,Abril,2021,Linea 1,Zaragoza,"27,59"
291,2021-04-20,20,Abril,2021,Linea 1,Zaragoza,24408
292,2021-04-21,21,Abril,2021,Linea 1,Zaragoza,25488
293,2021-04-22,22,Abril,2021,Linea 1,Zaragoza,26967
294,2021-04-23,23,Abril,2021,Linea 1,Zaragoza,26312
295,2021-04-24,24,Abril,2021,Linea 1,Zaragoza,25037
296,2021-04-25,25,Abril,2021,Linea 1,Zaragoza,"13,81"
297,2021-04-26,26,Abril,2021,Linea 1,Zaragoza,"28,81"
298,2021-04-27,27,Abril,2021,Linea 1,Zaragoza,28072
299,2021-04-28,28,Abril,2021,Linea 1,Zaragoza,25976
300,2021-04-29,29,Abril,2021,Linea 1,Zaragoza,29342
301,2021-04-30,30,Abril,2021,Linea 1,Zaragoza,"25,39"
302,2021-05-01,1,Mayo,2021,Linea 1,Zaragoza,22231
303,2021-05-02,2,Mayo,2021,Linea 1,Zaragoza,15022
304,2021-05-03,3,Mayo,2021,Linea 1,Zaragoza,28263
305,2021-05-04,4,Mayo,2021,Linea 1,Zaragoza,28428
306,2021-05-05,5,Mayo,2021,Linea 1,Zaragoza,28767
307,2021-05-06,6,Mayo,2021,Linea 1,Zaragoza,24176
308,2021-05-07,7,Mayo,2021,Linea 1,Zaragoza,33366
309,2021-05-08,8,Mayo,2021,Linea 1,Zaragoza,"28,86"
310,2021-05-09,9,Mayo,2021,Linea 1,Zaragoza,14954
311,2021-05-10,10,Mayo,2021,Linea 1,Zaragoza,22599
312,2021-05-11,11,Mayo,2021,Linea 1,Zaragoza,24398
313,2021-05-12,12,Mayo,2021,Linea 1,Zaragoza,24083
314,2021-05-13,13,Mayo,2021,Linea 1,Zaragoza,26544
315,2021-05-14,14,Mayo,2021,Linea 1,Zaragoza,26794
316,2021-05-15,15,Mayo,2021,Linea 1,Zaragoza,20211
317,2021-05-16,16,Mayo,2021,Linea 1,Zaragoza,26519
318,2021-05-17,17,Mayo,2021,Linea 1,Zaragoza,15734
319,2021-05-18,18,Mayo,2021,Linea 1,Zaragoza,"16,77"
320,2021-05-19,19,Mayo,2021,Linea 1,Zaragoza,21092
321,2021-05-20,20,Mayo,2021,Linea 1,Zaragoza,19391
322,2021-05-21,21,Mayo,2021,Linea 1,Zaragoza,19888
323,2021-05-22,22,Mayo,2021,Linea 1,Zaragoza,13898
324,2021-05-23,23,Mayo,2021,Linea 1,Zaragoza,20448
325,2021-05-24,24,Mayo,2021,Linea 1,Zaragoza,17639
326,2021-05-25,25,Mayo,2021,Linea 1,Zaragoza,17036
327,2021-05-26,26,Mayo,2021,Linea 1,Zaragoza,"17,26"
328,2021-05-27,27,Mayo,2021,Linea 1,Zaragoza,17083
329,2021-05-28,28,Mayo,2021,Linea 1,Zaragoza,17509
330,2021-05-29,29,Mayo,2021,Linea 1,Zaragoza,"17,63"
331,2021-05-30,30,Mayo,2021,Linea 1,Zaragoza,16209
332,2021-05-31,31,Mayo,2021,Linea 1,Zaragoza,25666
333,2021-06-01,1,Junio,2021,Linea 1,Zaragoza,"23,75"
334,2021-06-02,2,Junio,2021,Linea 1,Zaragoza,19616
335,2021-06-03,3,Junio,2021,Linea 1,Zaragoza,25295
336,2021-06-04,4,Junio,2021,Linea 1,Zaragoza,"26,85"
337,2021-06-05,5,Junio,2021,Linea 1,Zaragoza,21272
338,2021-06-06,6,Junio,2021,Linea 1,Zaragoza,11723
339,2021-06-07,7,Junio,2021,Linea 1,Zaragoza,24842
340,2021-06-08,8,Junio,2021,Linea 1,Zaragoza,25771
341,2021-06-09,9,Junio,2021,Linea 1,Zaragoza,25136
342,2021-06-10,10,Junio,2021,Linea 1,Zaragoza,"23,44"
343,2021-06-11,11,Junio,2021,Linea 1,Zaragoza,20119
344,2021-06-12,12,Junio,2021,Linea 1,Zaragoza,22699
345,2021-06-13,13,Junio,2021,Linea 1,Zaragoza,12042
346,2021-06-14,14,Junio,2021,Linea 1,Zaragoza,30081
347,2021-06-15,15,Junio,2021,Linea 1,Zaragoza,"27,04"
348,2021-06-16,16,Junio,2021,Linea 1,Zaragoza,24831
349,2021-06-17,17,Junio,2021,Linea 1,Zaragoza,23077
350,2021-06-18,18,Junio,2021,Linea 1,Zaragoza,23764
351,2021-06-19,19,Junio,2021,Linea 1,Zaragoza,22329
352,2021-06-20,20,Junio,2021,Linea 1,Zaragoza,"12,09"
353,2021-06-21,21,Junio,2021,Linea 1,Zaragoza,25853
354,2021-06-22,22,Junio,2021,Linea 1,Zaragoza,25275
355,2021-06-23,23,Junio,2021,Linea 1,Zaragoza,"25,03"
356,2021-06-24,24,Junio,2021,Linea 1,Zaragoza,26072
357,2021-06-25,25,Junio,2021,Linea 1,Zaragoza,24547
358,2021-06-26,26,Junio,2021,Linea 1,Zaragoza,21594
359,2021-06-27,27,Junio,2021,Linea 1,Zaragoza,13434
360,2021-06-28,28,Junio,2021,Linea 1,Zaragoza,"22,64"
361,2021-06-29,29,Junio,2021,Linea 1,Zaragoza,26391
362,2021-06-30,30,Junio,2021,Linea 1,Zaragoza,28876
363,2021-01-01,1,Enero,2021,Linea 1,Gómez Farías,23186
364,2021-01-02,2,Enero,2021,Linea 1,Gómez Farías,15493
365,2021-01-03,3,Enero,2021,Linea 1,Gómez Farías,8283
366,2021-01-04,4,Enero,2021,Linea 1,Gómez Farías,29241
367,2021-01-05,5,Enero,2021,Linea 1,Gómez Farías,20277
368,2021-01-06,6,Enero,2021,Linea 1,Gómez Farías,20853
369,2021-01-07,7,Enero,2021,Linea 1,Gómez Farías,19276
370,2021-01-08,8,Enero,2021,Linea 1,Gómez Farías,14216
371,2021-01-09,9,Enero,2021,Linea 1,Gómez Farías,-
372,2021-01-10,10,Enero,2021,Linea 1,Gómez Farías,-
373,2021-01-11,11,Enero,2021,Linea 1,Gómez Farías,-
374,2021-01-12,12,Enero,2021,Linea 1,Gómez Farías,-
375,2021-01-13,13,Enero,2021,Linea 1,Gómez Farías,-
376,2021-01-14,14,Enero,2021,Linea 1,Gómez Farías,-
377,2021-01-15,15,Enero,2021,Linea 1,Gómez Farías,-
378,2021-01-16,16,Enero,2021,Linea 1,Gómez Farías,-
379,2021-01-17,17,Enero,2021,Linea 1,Gómez Farías,-
380,2021-01-18,18,Enero,2021,Linea 1,Gómez Farías,-
381,2021-01-19,19,Enero,2021,Linea 1,Gómez Farías,-
382,2021-01-20,20,Enero,2021,Linea 1,Gómez Farías,-
383,2021-01-21,21,Enero,2021,Linea 1,Gómez Farías,-
384,2021-01-22,22,Enero,2021,Linea 1,Gómez Farías,-
385,2021-01-23,23,Enero,2021,Linea 1,Gómez Farías,-
386,2021-01-24,24,Enero,2021,Linea 1,Gómez Farías,-
387,2021-01-25,25,Enero,2021,Linea 1,Gómez Farías,18765
388,2021-01-26,26,Enero,2021,Linea 1,Gómez Farías,7453
389,2021-01-27,27,Enero,2021,Linea 1,Gómez Farías,11826
390,2021-01-28,28,Enero,2021,Linea 1,Gómez Farías,12747
391,2021-01-29,29,Enero,2021,Linea 1,Gómez Farías,12499
392,2021-01-30,30,Enero,2021,Linea 1,Gómez Farías,12829
393,2021-01-31,31,Enero,2021,Linea 1,Gómez Farías,10726
394,2021-02-01,1,Febrero,2021,Linea 1,Gómez Farías,10765
395,2021-02-02,2,Febrero,2021,Linea 1,Gómez Farías,14653
396,2021-02-03,3,Febrero,2021,Linea 1,Gómez Farías,14186
397,2021-02-04,4,Febrero,2021,Linea 1,Gómez Farías,12297
398,2021-02-05,5,Febrero,2021,Linea 1,Gómez Farías,16551
